name,stealth_days,buildup_days,buy_days,sell_days,first_signal,last_signal,signal_score,last_date,tier
PLEJD.ST,6,0,30,0,2025-05-13,buy,54,2025-08-08,buy
RESURS.ST,2,0,30,0,2025-05-13,buy,49,2025-08-08,buy
DOM.ST,3,0,30,0,2025-05-13,buy,48,2025-08-08,buy
NORION.ST,6,0,33,0,2025-05-13,buy,48,2025-08-08,buy
BUFAB.ST,6,0,26,0,2025-05-13,buy,47,2025-08-08,buy
ELUX-A.ST,7,0,22,1,2025-05-13,buy,47,2025-08-08,buy
INTEA-B.ST,3,0,27,0,2025-05-13,buy,47,2025-08-06,buy
EQT.ST,5,0,26,0,2025-05-13,buy,46,2025-08-06,buy
HEBA-B.ST,3,0,26,1,2025-05-13,buy,46,2025-08-08,buy
NCC-A.ST,1,0,27,0,2025-05-13,buy,46,2025-08-08,buy
RATO-A.ST,9,0,18,1,2025-05-13,buy,45,2025-08-08,buy
ANOD-B.ST,6,0,26,0,2025-05-13,buy,44,2025-08-08,buy
AXFO.ST,6,0,26,0,2025-05-14,buy,44,2025-08-08,buy
BIOA-B.ST,6,0,26,0,2025-05-13,buy,44,2025-08-08,buy
DYVOX.ST,6,0,30,0,2025-05-13,buy,44,2025-08-08,buy
GOTL-A.ST,3,0,25,0,2025-05-14,buy,44,2025-08-08,buy
IPCO.ST,5,0,22,1,2025-05-13,buy,43,2025-08-08,buy
BERG-B.ST,7,0,26,0,2025-05-13,buy,42,2025-08-08,buy
EVO.ST,3,0,29,0,2025-05-13,buy,42,2025-08-08,buy
LIAB.ST,5,0,23,1,2025-05-13,buy,42,2025-08-08,buy
BETS-B.ST,2,0,30,0,2025-05-13,buy,41,2025-08-06,buy
CAST.ST,4,0,27,1,2025-05-13,buy,41,2025-08-08,buy
CLAS-B.ST,6,0,23,0,2025-05-13,buy,41,2025-08-08,buy
ENGCON-B.ST,4,0,25,0,2025-05-13,buy,41,2025-08-08,buy
SEB-A.ST,3,0,32,0,2025-05-13,buy,41,2025-08-08,buy
XANO-B.ST,6,0,23,1,2025-05-14,buy,41,2025-08-08,buy
ADDV-B.ST,3,0,26,1,2025-05-13,buy,40,2025-08-08,buy
FABG.ST,4,0,28,0,2025-05-13,buy,40,2025-08-08,buy
PNDX-B.ST,6,0,25,0,2025-05-13,buy,40,2025-08-08,buy
VBG-B.ST,4,0,27,0,2025-05-13,buy,40,2025-08-06,buy
ALIF-B.ST,5,0,22,0,2025-05-13,buy,39,2025-08-08,buy
ASKER.ST,4,0,26,1,2025-05-14,buy,39,2025-08-08,buy
BEIA-B.ST,2,0,25,0,2025-05-14,buy,39,2025-08-08,buy
ERIC-A.ST,7,0,24,0,2025-05-13,buy,39,2025-08-08,buy
NEWA-B.ST,4,0,25,0,2025-05-13,buy,39,2025-08-08,buy
NP3.ST,7,0,22,0,2025-05-13,buy,39,2025-08-08,buy
SVEAF.ST,5,0,21,0,2025-05-13,buy,39,2025-08-06,buy
VIMIAN.ST,7,0,22,1,2025-05-14,buy,39,2025-08-08,buy
ZZ-B.ST,5,0,24,2,2025-05-13,buy,39,2025-08-06,buy
ALIG.ST,2,0,29,0,2025-05-13,buy,38,2025-08-06,buy
AZA.ST,4,0,22,0,2025-05-13,buy,38,2025-08-08,buy
BEIJ-B.ST,8,0,19,0,2025-05-13,buy,38,2025-08-08,buy
BRAV.ST,2,0,26,0,2025-05-13,buy,38,2025-08-08,buy
FAG.ST,6,0,19,0,2025-05-13,buy,38,2025-08-08,buy
HOFI.ST,6,0,23,1,2025-05-13,buy,38,2025-08-08,buy
HUFV-A.ST,3,0,25,0,2025-05-13,buy,38,2025-08-08,buy
IVSO.ST,5,0,23,0,2025-05-13,buy,38,2025-08-05,buy
LOOMIS.ST,4,0,28,0,2025-05-13,buy,38,2025-08-08,buy
SAGA-A.ST,1,0,27,0,2025-05-13,buy,38,2025-08-08,buy
SCA-A.ST,2,0,25,0,2025-05-13,buy,38,2025-08-08,buy
SECU-B.ST,4,0,25,0,2025-05-13,buy,38,2025-08-08,buy
VIT-B.ST,5,0,25,1,2025-05-13,buy,38,2025-08-08,buy
AFRY.ST,3,0,25,1,2025-05-13,buy,37,2025-08-08,buy
AQ.ST,8,0,22,0,2025-05-13,buy,37,2025-08-05,buy
ATT.ST,6,0,25,0,2025-05-13,buy,37,2025-08-08,buy
DIOS.ST,6,0,21,0,2025-05-13,buy,37,2025-08-08,buy
HMS.ST,4,0,27,1,2025-05-13,buy,37,2025-08-08,buy
INWI.ST,3,0,24,0,2025-05-13,buy,37,2025-08-08,buy
ITAB.ST,5,0,20,0,2025-05-13,buy,37,2025-08-06,buy
MTG-A.ST,7,0,16,0,2025-05-13,buy,37,2025-08-06,buy
SECT-B.ST,2,0,28,1,2025-05-13,buy,37,2025-08-08,buy
SLP-B.ST,8,0,19,0,2025-05-15,buy,37,2025-08-08,buy
TFBANK.ST,3,0,26,0,2025-05-13,buy,37,2025-08-08,buy
ACAD.ST,5,0,23,0,2025-05-13,buy,36,2025-08-05,buy
ALIV-SDB.ST,5,0,23,0,2025-05-13,buy,36,2025-08-06,buy
FPAR-A.ST,4,0,25,0,2025-05-13,buy,36,2025-08-08,buy
HTRO.ST,6,0,18,2,2025-05-13,buy,36,2025-08-08,buy
MCAP.ST,7,0,21,0,2025-05-14,buy,36,2025-08-05,buy
MCOV-B.ST,2,0,24,0,2025-05-13,buy,36,2025-08-08,buy
SCST.ST,3,0,26,0,2025-05-13,buy,36,2025-08-05,buy
SHOT.ST,3,0,24,0,2025-05-13,buy,36,2025-08-08,buy
SKF-A.ST,6,0,20,0,2025-05-13,buy,36,2025-08-08,buy
APOTEA.ST,3,0,24,0,2025-05-15,buy,35,2025-08-08,buy
ASSA-B.ST,9,0,19,0,2025-05-13,buy,35,2025-08-08,buy
BAHN-B.ST,2,0,26,0,2025-05-13,buy,35,2025-08-06,buy
CATE.ST,4,0,28,0,2025-05-13,buy,35,2025-08-08,buy
CORE-A.ST,5,0,21,1,2025-05-13,buy,35,2025-08-06,buy
HPOL-B.ST,3,0,24,0,2025-05-13,buy,35,2025-08-08,buy
HUSQ-A.ST,7,0,23,0,2025-05-13,buy,35,2025-08-08,buy
INDU-A.ST,1,0,29,0,2025-05-13,buy,35,2025-08-08,buy
LIFCO-B.ST,6,0,21,0,2025-05-13,buy,35,2025-08-08,buy
NYF.ST,4,0,21,0,2025-05-13,buy,35,2025-08-08,buy
TEL2-B.ST,1,0,23,0,2025-05-15,buy,35,2025-08-06,buy
XACT-OMXS30.ST,7,0,23,0,2025-05-13,buy,35,2025-08-08,buy
ABB.ST,1,0,27,0,2025-05-13,buy,34,2025-08-08,buy
ARJO-B.ST,5,0,23,0,2025-05-13,buy,34,2025-08-08,buy
ATCO-B.ST,3,0,26,0,2025-05-13,buy,34,2025-08-08,buy
BONEX.ST,4,0,25,1,2025-05-13,buy,34,2025-08-05,buy
GRNG.ST,8,0,23,1,2025-05-13,buy,34,2025-08-08,buy
HEM.ST,5,0,22,0,2025-05-14,buy,34,2025-08-05,buy
HOLM-A.ST,4,0,21,0,2025-05-13,buy,34,2025-08-08,buy
INDT.ST,5,0,22,0,2025-05-13,buy,34,2025-08-08,buy
NDA-SE.ST,1,0,29,0,2025-05-14,buy,34,2025-08-08,buy
STEF-B.ST,6,0,20,0,2025-05-13,buy,34,2025-08-06,buy
SWED-A.ST,4,0,25,0,2025-05-13,buy,34,2025-08-08,buy
SYSR.ST,5,0,25,1,2025-05-13,buy,34,2025-08-08,buy
AMBEA.ST,6,0,24,0,2025-05-13,buy,33,2025-08-08,buy
CIBUS.ST,1,0,26,0,2025-05-15,buy,33,2025-08-06,buy
EMBRAC-B.ST,2,0,28,0,2025-05-13,buy,33,2025-08-08,buy
ERIC-B.ST,8,0,20,0,2025-05-13,buy,33,2025-08-08,buy
GETI-B.ST,7,0,22,0,2025-05-13,buy,33,2025-08-08,buy
INSTAL.ST,6,0,19,2,2025-05-13,buy,33,2025-08-06,buy
KINV-A.ST,6,0,21,1,2025-05-13,buy,33,2025-08-08,buy
LAGR-B.ST,3,0,26,0,2025-05-13,buy,33,2025-08-08,buy
LUND-B.ST,7,0,22,0,2025-05-13,buy,33,2025-08-08,buy
MILDEF.ST,9,0,14,2,2025-05-14,buy,33,2025-08-06,buy
PLAZ-B.ST,5,0,19,0,2025-05-13,buy,33,2025-08-08,buy
RAY-B.ST,3,0,23,1,2025-05-13,buy,33,2025-08-08,buy
SHB-A.ST,3,0,25,0,2025-05-14,buy,33,2025-08-08,buy
SINCH.ST,1,0,25,0,2025-05-13,buy,33,2025-08-06,buy
SKIS-B.ST,2,0,26,0,2025-05-13,buy,33,2025-08-08,buy
SOBI.ST,5,0,21,1,2025-05-13,buy,33,2025-08-05,buy
SUS.ST,9,0,15,1,2025-05-14,buy,33,2025-08-08,buy
VOLCAR-B.ST,2,0,24,0,2025-05-13,buy,33,2025-08-08,buy
BILI-A.ST,6,0,20,0,2025-05-13,buy,32,2025-08-08,buy
BILL.ST,2,0,23,0,2025-05-13,buy,32,2025-08-08,buy
BOL.ST,6,0,20,1,2025-05-13,buy,32,2025-08-08,buy
BOOZT.ST,4,0,22,1,2025-05-13,buy,32,2025-08-08,buy
CRED-A.ST,5,0,21,0,2025-05-13,buy,32,2025-08-08,buy
EMIL-B.ST,1,0,24,0,2025-05-14,buy,32,2025-08-08,buy
EPRO-B.ST,6,0,19,1,2025-05-13,buy,32,2025-08-08,buy
JM.ST,4,0,23,0,2025-05-13,buy,32,2025-08-08,buy
MIPS.ST,5,0,19,1,2025-05-13,buy,32,2025-08-06,buy
OSSD.ST,7,0,16,1,2025-05-13,buy,32,2025-08-05,buy
SAAB-B.ST,5,0,23,1,2025-05-13,buy,32,2025-08-05,buy
SAND.ST,6,0,21,0,2025-05-13,buy,32,2025-08-08,buy
SAVE.ST,5,0,19,0,2025-05-14,buy,32,2025-08-08,buy
SKF-B.ST,3,0,22,0,2025-05-13,buy,32,2025-08-08,buy
SWEC-A.ST,4,0,22,0,2025-05-14,buy,32,2025-08-08,buy
THULE.ST,4,0,20,0,2025-05-13,buy,32,2025-08-05,buy
VOLV-B.ST,4,0,22,0,2025-05-13,buy,32,2025-08-08,buy
WALL-B.ST,3,0,23,0,2025-05-13,buy,32,2025-08-08,buy
WIHL.ST,4,0,20,0,2025-05-13,buy,32,2025-08-08,buy
ASMDEE-B.ST,7,0,19,0,2025-05-13,buy,31,2025-08-08,buy
AZN.ST,5,0,22,0,2025-05-13,buy,31,2025-08-05,buy
BALD-B.ST,7,0,18,0,2025-05-13,buy,31,2025-08-08,buy
BURE.ST,6,0,21,0,2025-05-13,buy,31,2025-08-08,buy
EKTA-B.ST,3,0,24,0,2025-05-13,buy,31,2025-08-08,buy
ESSITY-A.ST,3,0,23,0,2025-05-15,buy,31,2025-08-08,buy
HEXA-B.ST,8,0,19,1,2025-05-13,buy,31,2025-08-08,buy
PEAB-B.ST,7,0,16,0,2025-05-13,buy,31,2025-08-08,buy
SCA-B.ST,5,0,21,0,2025-05-13,buy,31,2025-08-08,buy
SDIP-B.ST,6,0,21,1,2025-05-13,buy,31,2025-08-08,buy
YUBICO.ST,7,0,16,1,2025-05-13,buy,31,2025-08-08,buy
INVE-A.ST,8,0,18,0,2025-05-13,buy,30,2025-08-08,buy
KINV-B.ST,5,0,24,0,2025-05-13,buy,30,2025-08-08,buy
LATO-B.ST,6,0,20,0,2025-05-13,buy,30,2025-08-08,buy
MYCR.ST,10,0,14,1,2025-05-13,buy,30,2025-08-08,buy
NIBE-B.ST,9,0,16,1,2025-05-13,buy,30,2025-08-08,buy
PDX.ST,3,0,19,0,2025-05-15,buy,30,2025-08-08,buy
STOR-B.ST,4,0,20,0,2025-05-16,buy,30,2025-08-08,buy
ADDT-B.ST,7,0,19,0,2025-05-13,buy,29,2025-08-08,buy
ALFA.ST,4,0,21,0,2025-05-13,buy,29,2025-08-08,buy
ATRLJ-B.ST,6,0,20,0,2025-05-13,buy,29,2025-08-08,buy
SKA-B.ST,10,0,17,0,2025-05-13,buy,29,2025-08-08,buy
VOLV-A.ST,6,0,18,0,2025-05-13,buy,29,2025-08-08,buy
ELUX-B.ST,6,0,20,2,2025-05-13,buy,28,2025-08-08,buy
ESSITY-B.ST,3,0,20,0,2025-05-13,buy,28,2025-08-08,buy
FOI-B.ST,3,0,20,0,2025-05-13,buy,28,2025-08-06,buy
INVE-B.ST,8,0,17,0,2025-05-13,buy,28,2025-08-08,buy
MEKO.ST,7,0,14,0,2025-05-13,buy,28,2025-08-08,buy
NOLA-B.ST,5,0,19,0,2025-05-13,buy,28,2025-08-08,buy
HM-B.ST,8,0,13,1,2025-05-13,buy,27,2025-08-08,buy
MMGR-B.ST,10,0,9,0,2025-05-13,buy,26,2025-08-08,buy
SBB-B.ST,5,0,17,1,2025-05-13,buy,26,2025-08-08,buy
TELIA.ST,4,0,17,0,2025-05-15,buy,26,2025-08-05,buy
STORY-B.ST,4,0,19,0,2025-05-13,buy,24,2025-08-06,buy
ROKO-B.ST,6,0,22,1,2025-05-13,watchlist,44,2025-08-06,watchlist
CS.ST,9,0,16,0,2025-05-14,watchlist,42,2025-08-08,watchlist
KAR.ST,5,0,25,0,2025-05-13,watchlist,42,2025-08-08,watchlist
NCAB.ST,5,0,24,1,2025-05-13,watchlist,39,2025-08-08,watchlist
TROAX.ST,6,0,17,1,2025-05-13,watchlist,36,2025-08-05,watchlist
AAK.ST,6,0,18,0,2025-05-13,watchlist,35,2025-08-08,watchlist
SECARE.ST,6,0,16,2,2025-05-14,watchlist,35,2025-08-06,watchlist
LIME.ST,6,0,20,0,2025-05-13,watchlist,33,2025-08-08,watchlist
OEM-B.ST,6,0,17,0,2025-05-14,watchlist,33,2025-08-08,watchlist
BIOG-B.ST,5,0,22,0,2025-05-13,watchlist,32,2025-08-08,watchlist
CAMX.ST,10,0,15,1,2025-05-13,watchlist,31,2025-08-04,watchlist
VITR.ST,7,0,15,1,2025-05-13,watchlist,31,2025-08-05,watchlist
ALLEI.ST,5,0,18,1,2025-05-13,watchlist,30,2025-08-08,watchlist
MTRS.ST,8,0,16,0,2025-05-13,watchlist,30,2025-08-08,watchlist
RUSTA.ST,6,0,20,0,2025-05-14,watchlist,30,2025-08-06,watchlist
SSAB-A.ST,9,0,13,0,2025-05-16,watchlist,29,2025-08-08,watchlist
TRUE-B.ST,6,0,17,3,2025-05-13,watchlist,29,2025-08-04,watchlist
VOLO.ST,6,0,15,0,2025-05-13,watchlist,28,2025-08-06,watchlist
EPI-A.ST,9,0,14,0,2025-05-13,watchlist,27,2025-08-08,watchlist
TREL-B.ST,9,0,13,0,2025-05-13,watchlist,27,2025-08-08,watchlist
NMAN.ST,5,0,17,0,2025-05-13,watchlist,26,2025-08-08,watchlist
SYNSAM.ST,5,0,18,0,2025-05-13,watchlist,26,2025-08-08,watchlist
VER.ST,6,0,13,4,2025-05-15,watchlist,26,2025-08-08,watchlist
ALLIGO-B.ST,4,0,17,0,2025-05-14,watchlist,25,2025-08-08,watchlist
XVIVO.ST,6,0,15,2,2025-05-13,watchlist,24,2025-08-06,watchlist
SVOL-A.ST,5,0,6,1,2025-05-14,watchlist,22,2025-07-31,watchlist
